Source,Protocol,Amount
10.23.4.140,DNS,3
100.114.136.7,DNS,12
100.114.136.7,HTTP,1
100.114.136.7,OCSP,4
100.114.136.7,TCP,168
100.114.136.7,TLSv1,1
100.114.136.7,TLSv1.2,78
100.114.136.7,TLSv1.3,6
173.194.220.95,TCP,6
173.194.220.95,TLSv1.3,8
185.4.64.197,TCP,4
217.69.136.176,TCP,1
37.29.76.59,HTTP,1
37.29.76.59,TCP,106
37.29.76.59,TLSv1.2,73
5.255.255.70,TCP,2
5.255.255.70,TLSv1.2,2
52.26.103.165,TCP,5
52.26.103.165,TLSv1.2,8
77.88.21.119,TCP,2
77.88.21.119,TLSv1.2,1
83.149.24.68,DNS,6
85.26.148.161,TCP,5
85.26.148.161,TLSv1.2,3
93.184.220.29,OCSP,4
93.184.220.29,TCP,5
95.179.184.34,TCP,2
